architecture,train_samples,train_type,run_1,run_2,run_3
SSDMobileNet,,pretrained,0.2199243466114142,0.3320289405033794,0.22304084171160948
SSDMobileNet,50.0,from_scratch,0.22159944870010453,0.3011210949273001,0.27801984619827014
SSDMobileNet,50.0,finetuned,0.7871256410215312,0.7586584808326408,0.7926217670515269
SSDMobileNet,100.0,from_scratch,0.4378217455691713,0.4659192534543337,0.4251948164071491
SSDMobileNet,100.0,finetuned,0.8219729448591189,0.8053687158399462,0.8229868044304709
SSDMobileNet,150.0,from_scratch,0.5652791929680755,0.4803506472950185,0.5390610390005269
SSDMobileNet,150.0,finetuned,0.8483289751380878,0.8502065587255516,0.8278065604872054
SSDMobileNet,200.0,from_scratch,0.5116088596354986,0.5537010118632855,0.5373225394750316
SSDMobileNet,200.0,finetuned,0.876923492598402,0.8630432641137634,0.8805495734893711
SSDMobileNet,300.0,from_scratch,0.6156346750789345,0.6011176968659795,0.591930054807848
SSDMobileNet,300.0,finetuned,0.9172972450440977,0.8977567973582803,0.8987982489217081
SSDMobileNet,400.0,from_scratch,0.6762286236534191,0.6892893240433668,0.6641395884860489
SSDMobileNet,400.0,finetuned,0.9268728231435651,0.9159265249632147,0.9013287013844575
SSDMobileNet,500.0,from_scratch,0.6284390602033496,0.6713743271098666,0.6515952599056913
SSDMobileNet,500.0,finetuned,0.9372876276797595,0.9488573427632563,0.9185043350187451
SSDMobileNet,1000.0,from_scratch,0.773011660636868,0.8082260393751927,0.8256989060310514
SSDMobileNet,1000.0,finetuned,0.95754338490845,0.9622989139235084,0.9444894478351451
SSDMobileNet,2000.0,from_scratch,0.8963216591740127,0.9192456987033121,0.9038464434365335
SSDMobileNet,2000.0,finetuned,0.9665127682649475,0.9652463637848298,0.9543086168064863
SSDMobileNet,4000.0,from_scratch,0.939895167820155,0.9610128197157748,0.9526915402600208
SSDMobileNet,4000.0,finetuned,0.9779385371340263,0.9638758697566248,0.9824600707846806
SSDMobileNet,8000.0,from_scratch,0.95486433104279,0.9627068797570755,0.9429527540282703
SSDMobileNet,8000.0,finetuned,0.9800401270140418,0.9676762541958812,0.9789772434886819
SSDMobileNet,10345.0,from_scratch,0.9457616980559357,0.9652620289849475,0.963769207343535
SSDMobileNet,10345.0,finetuned,0.9775684335549122,0.9788704142374861,0.9771002282000683
SSDResNet50,,pretrained,0.1688080181782318,0.2271209620111712,0.29338112216557777
SSDResNet50,50.0,from_scratch,0.6442240537118877,0.699888682405518,0.7041707527072408
SSDResNet50,50.0,finetuned,0.8085419763669627,0.7830984155970084,0.7844990280891189
SSDResNet50,100.0,from_scratch,0.7663281589880968,0.7694441224847377,0.7546173913045955
SSDResNet50,100.0,finetuned,0.8488389496230755,0.8143611405086402,0.8358259320315347
SSDResNet50,150.0,from_scratch,0.7966781147570086,0.8236904415237059,0.8230625260596044
SSDResNet50,150.0,finetuned,0.8864881449042983,0.862910766360153,0.8738318838961616
SSDResNet50,200.0,from_scratch,0.8582430392938933,0.8266069469815577,0.8758040064183212
SSDResNet50,200.0,finetuned,0.8995598820452214,0.8787115649711472,0.891906057108119
SSDResNet50,300.0,from_scratch,0.8826105205024102,0.8916608100621664,0.8860283163704393
SSDResNet50,300.0,finetuned,0.9271440526793432,0.9187324567985962,0.9246110048907754
SSDResNet50,400.0,from_scratch,0.9225856522227577,0.915000985122964,0.9202620110611422
SSDResNet50,400.0,finetuned,0.9445622215496743,0.9537042556483599,0.9370858865444928
SSDResNet50,500.0,from_scratch,0.9376435168277409,0.9511305637921927,0.9292515828203568
SSDResNet50,500.0,finetuned,0.9384725326183689,0.948354815829478,0.9486396607737337
SSDResNet50,1000.0,from_scratch,0.9787746660351813,0.972749547211444,0.97056473250034
SSDResNet50,1000.0,finetuned,0.9770124139161496,0.9775092570102986,0.968388983872536
SSDResNet50,2000.0,from_scratch,0.9854103515296256,0.9819039767244635,0.9857284033665827
SSDResNet50,2000.0,finetuned,0.9782037487242274,0.981894489151123,0.9857548206235749
SSDResNet50,4000.0,from_scratch,0.9879996913841635,0.9838217177275698,0.9835219275329389
SSDResNet50,4000.0,finetuned,0.9867936411335685,0.986371002236485,0.9877441425307854
SSDResNet50,8000.0,from_scratch,0.9873220996016175,0.9911355378716501,0.9942630413673732
SSDResNet50,8000.0,finetuned,0.9885253833241564,0.990184274491317,0.9932100742674335
SSDResNet50,10345.0,from_scratch,0.9888970511487674,0.9834872886966475,0.9876269324872641
SSDResNet50,10345.0,finetuned,0.9962553012776754,0.9854005087765448,0.9925114853369486
