architecture,num_real_samples,num_fake_samples,train_type,run_1,run_2,run_3
SSDMobileNet,100,100,mixed,0.2678557467908682,0.3094616274435634,0.3689215952092728
SSDMobileNet,100,200,mixed,0.27752492849018245,0.2855688244563108,0.38280530031586646
SSDMobileNet,100,400,mixed,0.3436480081193911,0.277810172737791,0.31254626292536714
SSDMobileNet,100,800,mixed,0.30399579685488304,0.3319604712237269,0.27152381959756344
SSDMobileNet,100,100,finetuned,0.42424372536281146,0.3760539651460431,0.3963177677673101
SSDMobileNet,100,200,finetuned,0.467342877629925,0.42627197736316225,0.4679425102127137
SSDMobileNet,100,400,finetuned,0.4798887465250135,0.42847382580150295,0.4578708060449892
SSDMobileNet,100,800,finetuned,0.4550297863843778,0.48491123846212847,0.48958677458490296
SSDResNet50,100,100,mixed,0.5909876272063616,0.5707161921292917,0.5765490443839669
SSDResNet50,100,200,mixed,0.5899769069569746,0.596280053504824,0.5984601290220115
SSDResNet50,100,400,mixed,0.5726745602982307,0.6052223442775063,0.5638691777693485
SSDResNet50,100,800,mixed,0.5997952595263814,0.5935823243904673,0.6110465603357501
SSDResNet50,100,100,finetuned,0.6591843829031129,0.6041049152869828,0.6055019694227388
SSDResNet50,100,200,finetuned,0.6275682791910658,0.6275233429298993,0.6204596053571867
SSDResNet50,100,400,finetuned,0.6998622108532295,0.6742072655808308,0.6156365598757243
SSDResNet50,100,800,finetuned,0.6418294907975242,0.6946539424029323,0.6207751064899768
