architecture,num_real_samples,num_fake_samples,train_type,run_1,run_2,run_3
SSDMobileNet,100,100,mixed,0.7650320639397036,0.7755697470631735,0.7509155036423923
SSDMobileNet,100,200,mixed,0.8024123229197498,0.7330053950437028,0.7583124368725932
SSDMobileNet,100,400,mixed,0.7462691354038157,0.7680189706119535,0.7736129198127059
SSDMobileNet,100,800,mixed,0.8162565477299358,0.7646694205850257,0.7971428828546552
SSDMobileNet,100,100,finetuned,0.8953992645814327,0.9141703276248829,0.9409142820826683
SSDMobileNet,100,200,finetuned,0.9370028357397564,0.9200875091514505,0.909427873975218
SSDMobileNet,100,400,finetuned,0.9466531035336416,0.9537382670512641,0.9346979134667971
SSDMobileNet,100,800,finetuned,0.9602228327664062,0.9545603970791453,0.962929194024604
SSDResNet50,100,100,mixed,0.9683169198679539,0.9697972961638877,0.9691767215864553
SSDResNet50,100,200,mixed,0.9667550011311571,0.968615333337137,0.9725641543806574
SSDResNet50,100,400,mixed,0.9710770042136234,0.9614300598515899,0.9712859616197209
SSDResNet50,100,800,mixed,0.9695345518148372,0.9668765810631227,0.9685302148477493
SSDResNet50,100,100,finetuned,0.9870376295975715,0.9858434688940502,0.9890271547209141
SSDResNet50,100,200,finetuned,0.987399261680629,0.9896874023517298,0.9892679930639797
SSDResNet50,100,400,finetuned,0.9899227274108019,0.9922041276542022,0.9901532456883025
SSDResNet50,100,800,finetuned,0.9890305783745778,0.9894349929198254,0.9893051195342816
