architecture,train_samples,train_type,run_1,run_2,run_3
SSDMobileNet,,pretrained,0.5885513658039615,0.5132691390280846,0.5789798292612081
SSDMobileNet,10.0,from_scratch,0.2753291024445272,0.28825772823632784,0.26817771979144456
SSDMobileNet,10.0,finetuned,0.7241958208984387,0.7282772989461317,0.7139598443342979
SSDMobileNet,20.0,from_scratch,0.37229312438572504,0.4242569526430237,0.43896711375434416
SSDMobileNet,20.0,finetuned,0.733172148798922,0.742328914347324,0.736832226220379
SSDMobileNet,50.0,from_scratch,0.5213401126742123,0.5068130846080116,0.507439086420528
SSDMobileNet,50.0,finetuned,0.7693517240996786,0.7643543843410137,0.7629909083591296
SSDMobileNet,100.0,from_scratch,0.5899470902594984,0.5802305719565777,0.5916424440603025
SSDMobileNet,100.0,finetuned,0.7837786054014668,0.7769805507551177,0.7749463885016766
SSDMobileNet,150.0,from_scratch,0.6488608960013792,0.60099536231129,0.6496133208056563
SSDMobileNet,150.0,finetuned,0.7977467717550821,0.7938845217852757,0.7899361305388533
SSDMobileNet,200.0,from_scratch,0.6604183426544157,0.6522004414772982,0.6562325509225735
SSDMobileNet,200.0,finetuned,0.807263750427796,0.805736257341729,0.7972002944985382
SSDMobileNet,300.0,from_scratch,0.7169393805319568,0.7166653830101719,0.7150301741594999
SSDMobileNet,300.0,finetuned,0.807752123064913,0.8097734535643919,0.8089107718399995
SSDMobileNet,400.0,from_scratch,0.7300218188103856,0.7220923466660639,0.7313570885594687
SSDMobileNet,400.0,finetuned,0.8177835591654609,0.8301104454971638,0.8211479709497681
SSDMobileNet,600.0,from_scratch,0.7403510070467569,0.7526094456548541,0.7619317588268489
SSDMobileNet,600.0,finetuned,0.8265424440562221,0.8328204054000993,0.8251702525137332
SSDMobileNet,800.0,from_scratch,0.7907296670315525,0.7533426561038935,0.7594215567111035
SSDMobileNet,800.0,finetuned,0.8355644013107196,0.8381743172573209,0.8367252726205968
SSDMobileNet,1000.0,from_scratch,0.77813771570813,0.7773995992662949,0.7667474045756961
SSDMobileNet,1000.0,finetuned,0.8501836499870643,0.856699720065632,0.838998742630705
SSDMobileNet,1200.0,from_scratch,0.7834702767194641,0.7860893777180804,0.7887645224679934
SSDMobileNet,1200.0,finetuned,0.8428938213633758,0.8479584418026789,0.8385928557866518
SSDMobileNet,1449.0,from_scratch,0.7998572845483095,0.8014788567662539,0.7796100793739588
SSDMobileNet,1449.0,finetuned,0.8515766851506941,0.8547462890203503,0.8395949392466792
SSDResNet50,,pretrained,0.5785296853063172,0.5933213203388386,0.5802680883768551
SSDResNet50,10.0,from_scratch,0.19990614111445015,0.1609633064875954,0.1889214067736681
SSDResNet50,10.0,finetuned,0.719054842554733,0.7040016777241032,0.6884543469789912
SSDResNet50,20.0,from_scratch,0.3417327161043676,0.31527172072821036,0.3737384643502246
SSDResNet50,20.0,finetuned,0.7613022323988057,0.7600753373020644,0.7628948584831545
SSDResNet50,50.0,from_scratch,0.5391903631406885,0.5709678533940103,0.5226661059769182
SSDResNet50,50.0,finetuned,0.7796929465083036,0.7848797614616969,0.7798352387671452
SSDResNet50,100.0,from_scratch,0.6770030132934997,0.6898000187916742,0.6777535888886482
SSDResNet50,100.0,finetuned,0.7909249268022253,0.7891371177497765,0.7941387504091325
SSDResNet50,150.0,from_scratch,0.7394762439440433,0.7183025541060313,0.7249760711639657
SSDResNet50,150.0,finetuned,0.808408975108782,0.8029680948456346,0.8068043257854559
SSDResNet50,200.0,from_scratch,0.7439069722523705,0.7595287444942561,0.7585613367209421
SSDResNet50,200.0,finetuned,0.8187531449833712,0.8146210892639669,0.8228760546743591
SSDResNet50,300.0,from_scratch,0.762324903940397,0.7925943718209428,0.7629558288075267
SSDResNet50,300.0,finetuned,0.8357286830399174,0.8290399353128269,0.8353533515389395
SSDResNet50,400.0,from_scratch,0.7947283011137176,0.7994672525159532,0.7879416792776331
SSDResNet50,400.0,finetuned,0.8454445335662213,0.8375748560971721,0.8433939379965454
SSDResNet50,600.0,from_scratch,0.8152207113560299,0.8235614808674012,0.82580145113033
SSDResNet50,600.0,finetuned,0.8560535939911829,0.8580064071269309,0.8559934750269875
SSDResNet50,800.0,from_scratch,0.8251362559538241,0.8397697955320557,0.8420924031500538
SSDResNet50,800.0,finetuned,0.8662084879310039,0.8585183181866332,0.8631864339800306
SSDResNet50,1000.0,from_scratch,0.8394980751456654,0.8455050503794741,0.8461789830307019
SSDResNet50,1000.0,finetuned,0.868522313471368,0.8685856478145404,0.8676109913196606
SSDResNet50,1200.0,from_scratch,0.8561112580981857,0.8457057322236379,0.8534069112019437
SSDResNet50,1200.0,finetuned,0.8753001227609463,0.8627539033145559,0.8650769930829374
SSDResNet50,1449.0,from_scratch,0.858795189461296,0.8603916576419055,0.8578001898216551
SSDResNet50,1449.0,finetuned,0.8812232601162759,0.8793883906220301,0.8813142607620871
