architecture,num_real_samples,num_fake_samples,train_type,run_1,run_2,run_3
SSDMobileNet,100,100,mixed,0.6685617636381949,0.6995234377893551,0.6921058695427956
SSDMobileNet,100,200,mixed,0.6937049876246393,0.7013155087443171,0.6584415686184315
SSDMobileNet,100,400,mixed,0.6707961767198947,0.6845812701904674,0.6915424530039295
SSDMobileNet,100,800,mixed,0.6881366059107278,0.6741277105356851,0.7109352706818525
SSDMobileNet,100,100,finetuned,0.738313656233606,0.7428122242997726,0.7196599254047426
SSDMobileNet,100,200,finetuned,0.749515484334042,0.7458913217591633,0.7466594721920551
SSDMobileNet,100,400,finetuned,0.749950890878394,0.747001319422656,0.7558651908340728
SSDMobileNet,100,800,finetuned,0.7633263673134201,0.7603930533626326,0.7649751189822
SSDResNet50,100,100,mixed,0.7272211698464437,0.7317128693018791,0.7299438225093502
SSDResNet50,100,200,mixed,0.7151816304544266,0.7368682873766734,0.7256814333602559
SSDResNet50,100,400,mixed,0.7323486261809828,0.7284297145198831,0.7348361051071945
SSDResNet50,100,800,mixed,0.7218478767372246,0.7301686897755221,0.7137184382467316
SSDResNet50,100,100,finetuned,0.7692228782180776,0.7757729885290908,0.7667145148621659
SSDResNet50,100,200,finetuned,0.7736446173585804,0.773283308555604,0.7797743633808868
SSDResNet50,100,400,finetuned,0.7741201255948431,0.7791967549239802,0.7813958356810342
SSDResNet50,100,800,finetuned,0.7959032541842649,0.7885414196753362,0.7913031445648774
