architecture,train_samples,train_type,run_1,run_2,run_3
SSDMobileNet,,pretrained,0.4598990040421864,0.44215456003481035,0.4615869647847099
SSDMobileNet,10.0,from_scratch,0.014330183550213335,0.019212180725629403,0.01365905437356822
SSDMobileNet,10.0,finetuned,0.48767846227976847,0.5296736804558502,0.543565591467309
SSDMobileNet,50.0,from_scratch,0.2387501657853738,0.23478120227822935,0.2523760645015636
SSDMobileNet,50.0,finetuned,0.5783375941288756,0.5750234566031605,0.5818904906754683
SSDMobileNet,100.0,from_scratch,0.3609743079031103,0.36511599047002685,0.3884897970576329
SSDMobileNet,100.0,finetuned,0.6067142289848825,0.6026379458713784,0.6294595117230483
SSDMobileNet,150.0,from_scratch,0.45513122212101476,0.4183615036087799,0.4384976430789659
SSDMobileNet,150.0,finetuned,0.6169100766353625,0.644474143960003,0.6411884338267753
SSDMobileNet,200.0,from_scratch,0.44569409266815674,0.46600042866720537,0.47244754387074284
SSDMobileNet,200.0,finetuned,0.64609461348758,0.6301001335457981,0.6415509495673797
SSDMobileNet,250.0,from_scratch,0.4713327044037993,0.4602031139869886,0.4603331756246727
SSDMobileNet,250.0,finetuned,0.6531732526424089,0.6405054873557577,0.6613110342307505
SSDMobileNet,300.0,from_scratch,0.4476121878221397,0.45805839153218025,0.45743792308942555
SSDMobileNet,300.0,finetuned,0.6505182948184068,0.6286600295835347,0.6569718079639032
SSDMobileNet,350.0,from_scratch,0.48541731347026684,0.4978096265178772,0.48696785530595904
SSDMobileNet,350.0,finetuned,0.6564883448151068,0.6340762192384497,0.6643186205636844
SSDMobileNet,400.0,from_scratch,0.5396487194028742,0.5287865670689876,0.49059856739146385
SSDMobileNet,400.0,finetuned,0.6498947052328821,0.6482726445784317,0.666739705912387
SSDMobileNet,467.0,from_scratch,0.547875234268977,0.5358309237012198,0.4891563480211635
SSDMobileNet,467.0,finetuned,0.664724681194443,0.6575980503918805,0.6834525295060118
SSDResNet50,,pretrained,0.5823563175757009,0.5926987135259273,0.5708961222251885
SSDResNet50,10.0,from_scratch,0.03612529399945632,0.05285343711716256,0.06095859488726785
SSDResNet50,10.0,finetuned,0.5124582464587945,0.547743263348895,0.5316878255457262
SSDResNet50,50.0,from_scratch,0.21642480205634324,0.24117292281937508,0.27373567397605175
SSDResNet50,50.0,finetuned,0.6000172966406131,0.6017980046594436,0.6148589169939266
SSDResNet50,100.0,from_scratch,0.34879565820508673,0.3208105208976666,0.375355362177082
SSDResNet50,100.0,finetuned,0.6375112603126858,0.6279627726310476,0.6440115899429548
SSDResNet50,150.0,from_scratch,0.40694539722562173,0.38563890802923506,0.43846709234717024
SSDResNet50,150.0,finetuned,0.637538086132518,0.6687592214878334,0.6798017346931555
SSDResNet50,200.0,from_scratch,0.4520834903522761,0.4520091662935866,0.4599391209580622
SSDResNet50,200.0,finetuned,0.6620056732596439,0.6693022418473333,0.6626091490361026
SSDResNet50,250.0,from_scratch,0.47601522990241246,0.48322694327244803,0.47082575750845373
SSDResNet50,250.0,finetuned,0.6814670158160754,0.6776145502646843,0.6774975300419644
SSDResNet50,300.0,from_scratch,0.4443677464888673,0.4811159779068282,0.5092528979231264
SSDResNet50,300.0,finetuned,0.6804882838998203,0.6589023121169947,0.672123436046957
SSDResNet50,350.0,from_scratch,0.47845340092810773,0.4948874891407697,0.48505513089781127
SSDResNet50,350.0,finetuned,0.691242969539787,0.6911353981324316,0.690638347999114
SSDResNet50,400.0,from_scratch,0.5160274708618753,0.5024599887136584,0.5205913660190141
SSDResNet50,400.0,finetuned,0.7091278272393318,0.6979254202798941,0.6999305422247364
SSDResNet50,467.0,from_scratch,0.5650517400445919,0.5501972323425447,0.5498744164814753
SSDResNet50,467.0,finetuned,0.696050264839871,0.6923824312654265,0.6901539602501423
